Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,9700,,,9700,0,0,0,0
2024-04-11,9700,,,9700,0,0,0,0
2024-05-11,9700,,,9700,0,0,0,0
2024-06-11,9700,,,9700,0,0,0,0
2024-07-11,9700,,,9700,0,0,0,0
2024-08-11,9700,,,9700,0,0,0,0
2024-10-10,9700,,,9700,0,0,0,0
2024-10-14,9700,,,9700,0,0,0,0
2024-10-15,9700,,,9700,0,0,0,0
2024-10-16,9700,,,9700,0,0,0,0
2024-10-17,9700,,,9700,0,0,0,0
2024-10-18,9700,,,9700,0,0,0,0
2024-10-21,9700,,,9700,0,0,0,0
2024-10-22,9700,,,9700,0,0,0,0
2024-10-24,9700,,,9700,0,0,0,0
2024-10-25,9700,,,9700,0,0,0,0
2024-10-28,9700,,,9700,0,0,0,0
2024-10-29,9700,,,9700,0,0,0,0
2024-10-30,9700,,,9700,0,0,0,0
2024-10-31,9700,,,9700,0,0,0,0
2024-11-01,9700,,,9700,0,0,0,0
2024-11-04,9700,,,9700,0,0,0,0
2024-11-05,9700,,,9700,0,0,0,0
2024-11-06,9700,,,9700,0,0,0,0
2024-11-07,9700,,,9700,0,0,0,0
2024-11-08,9700,,,9700,0,0,0,0
,9700,,,9700,0,0,0,0
