Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"18.000,00",,,"18.000,00",0,0,0,0
2024-04-11,"18.000,00",,,"18.000,00",0,0,0,0
2024-05-11,"18.000,00",,,"18.000,00",0,0,0,0
2024-06-11,"18.000,00",,,"18.000,00",0,0,0,0
2024-07-11,"18.000,00",,,"18.000,00",0,0,0,0
2024-08-11,"18.000,00",,,"18.000,00",0,0,0,0
2024-10-10,"18.000,00",,,"18.000,00",0,0,0,0
2024-10-14,"18.000,00",,,"18.000,00",0,0,0,0
2024-10-15,"18.000,00",,,"18.000,00",0,0,0,0
2024-10-16,"18.000,00",,,"18.000,00",0,0,0,0
2024-10-17,"18.000,00",,,"18.000,00",0,0,0,0
2024-10-18,"18.000,00",,,"18.000,00",0,0,0,0
2024-10-21,"18.000,00",,,"18.000,00",0,0,0,0
2024-10-22,"18.000,00",,,"18.000,00",0,0,0,0
2024-10-24,"18.000,00",,,"18.000,00",0,0,0,0
2024-10-25,"18.000,00",,,"18.000,00",0,0,0,0
2024-10-28,"18.000,00",,,"18.000,00",0,0,0,0
2024-10-29,"18.000,00",,,"18.000,00",0,0,0,0
2024-10-30,"18.000,00",,,"18.000,00",0,0,0,0
2024-10-31,"18.000,00",,,"18.000,00",0,0,0,0
2024-11-01,"18.000,00",,,"18.000,00",0,0,0,0
2024-11-04,"18.000,00",,,"18.000,00",0,0,0,0
2024-11-05,"18.000,00",,,"18.000,00",0,0,0,0
2024-11-06,"18.000,00",,,"18.000,00",0,0,0,0
2024-11-07,"18.000,00",,,"18.000,00",0,0,0,0
2024-11-08,"18.000,00",,,"18.000,00",0,0,0,0
,"18.000,00",,,"18.000,00",0,0,0,0
