Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"12.360,00",,,"12.360,00",0,0,0,0
2024-04-11,"12.360,00",,,"12.360,00",0,0,0,0
2024-05-11,"12.360,00",,,"12.360,00",0,0,0,0
2024-06-11,"12.360,00",,,"12.360,00",0,0,0,0
2024-07-11,"12.360,00",,,"12.360,00",0,0,0,0
2024-08-11,"12.360,00",,,"12.360,00",0,0,0,0
2024-10-25,"12.360,00",,,"12.360,00",0,0,0,0
2024-10-28,"12.360,00",,,"12.360,00",0,0,0,0
2024-10-29,"12.360,00",,,"12.360,00",0,0,0,0
2024-10-30,"12.360,00",,,"12.360,00",0,0,0,3.300.000
2024-10-31,"12.360,00",,,"12.360,00",0,0,0,0
2024-11-01,"12.360,00",,,"12.360,00",0,0,0,0
2024-11-04,"12.360,00",,,"12.360,00",0,0,0,0
2024-11-05,"12.360,00",,,"12.360,00",0,0,0,0
2024-11-06,"12.360,00",,,"12.360,00",0,0,0,0
2024-11-07,"12.360,00",,,"12.360,00",0,0,0,0
2024-11-08,"12.360,00",,,"12.360,00",0,0,0,0
,"12.360,00",,,"12.360,00",0,0,0,0
