Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,12000,,,12000,0,0,0,0
2024-04-11,12000,,,12000,0,0,0,0
2024-05-11,12000,,,12000,0,0,0,0
2024-06-11,12000,,,12000,0,0,0,0
2024-07-11,12000,,,12000,0,0,0,0
2024-08-11,12000,,,12000,0,0,0,0
2024-10-10,12000,,,12000,0,0,0,0
2024-10-14,12000,,,12000,0,0,0,0
2024-10-15,12000,,,12000,0,0,0,0
2024-10-16,12000,,,12000,0,0,0,0
2024-10-17,12000,,,12000,0,0,0,0
2024-10-18,12000,,,12000,0,0,0,0
2024-10-21,12000,,,12000,0,0,0,0
2024-10-22,12000,,,12000,0,0,0,0
2024-10-24,12000,,,12000,0,0,0,0
2024-10-25,12000,,,12000,0,0,0,0
2024-10-28,12000,,,12000,0,0,0,0
2024-10-29,12000,,,12000,0,0,0,0
2024-10-30,12000,,,12000,0,0,0,0
2024-10-31,12000,,,12000,0,0,0,0
2024-11-01,12000,,,12000,0,0,0,0
2024-11-04,12000,,,12000,0,0,0,0
2024-11-05,12000,,,12000,0,0,0,0
2024-11-06,12000,,,12000,0,0,0,0
2024-11-07,12000,,,12000,0,0,0,0
2024-11-08,12000,,,12000,0,0,0,0
,12000,,,12000,0,0,0,0
