Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"6.150,00",,,"6.150,00",0,0,0,0
2024-04-11,"6.150,00",,,"6.150,00",0,0,0,0
2024-05-11,"6.150,00",,,"6.150,00",0,0,0,0
2024-06-11,"6.150,00",,,"6.150,00",0,0,0,0
2024-07-11,"6.150,00",,,"6.150,00",0,0,0,0
2024-08-11,"6.150,00",,,"6.150,00",0,0,0,0
2024-10-10,"6.150,00",,,"6.150,00",0,0,0,0
2024-10-14,"6.150,00",,,"6.150,00",0,0,0,0
2024-10-15,"6.150,00",,,"6.150,00",0,0,0,0
2024-10-16,"6.150,00",,,"6.150,00",0,0,0,0
2024-10-17,"6.150,00",,,"6.150,00",0,0,0,0
2024-10-18,"6.150,00",,,"6.150,00",0,0,0,0
2024-10-21,"6.150,00",,,"6.150,00",0,0,0,0
2024-10-22,"6.150,00",,,"6.150,00",0,0,0,0
2024-10-24,"6.150,00",,,"6.150,00",0,0,0,0
2024-10-25,"6.150,00",,,"6.150,00",0,0,0,0
2024-10-28,"6.150,00",,,"6.150,00",0,0,0,0
2024-10-29,"6.150,00",,,"6.150,00",0,0,0,0
2024-10-30,"6.150,00",,,"6.150,00",0,0,0,0
2024-10-31,"6.150,00",,,"6.150,00",0,0,0,0
2024-11-01,"6.150,00",,,"6.150,00",0,0,0,0
2024-11-04,"6.150,00",,,"6.150,00",0,0,0,0
2024-11-05,"6.150,00",,,"6.150,00",0,0,0,0
2024-11-06,"6.150,00",,,"6.150,00",0,0,0,0
2024-11-07,"6.150,00",,,"6.150,00",0,0,0,0
2024-11-08,"6.150,00",,,"6.150,00",0,0,0,0
,"6.150,00",,,"6.150,00",0,0,0,0
