Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2024-01-11,"2.000,00",,,"2.000,00",0,0,0,0
2024-04-11,"2.000,00",,,"2.000,00",0,0,0,0
2024-05-11,"2.000,00",,,"2.000,00",0,0,0,0
2024-06-11,"2.000,00",,,"2.000,00",0,0,0,0
2024-07-11,"2.000,00",,,"2.000,00",0,0,0,0
2024-08-11,"2.000,00",,,"2.000,00",0,0,0,0
2024-10-10,"2.000,00",,,"2.000,00",0,0,0,0
2024-10-14,"2.000,00",,,"2.000,00",0,0,0,0
2024-10-15,"2.000,00",,,"2.000,00",0,0,0,0
2024-10-16,"2.000,00",,,"2.000,00",0,0,0,0
2024-10-17,"2.000,00",,,"2.000,00",0,0,0,0
2024-10-18,"2.000,00",,,"2.000,00",0,0,0,0
2024-10-21,"2.000,00",,,"2.000,00",0,0,0,0
2024-10-22,"2.000,00",,,"2.000,00",0,0,0,0
2024-10-24,"2.000,00",,,"2.000,00",0,0,0,0
2024-10-25,"2.000,00",,,"2.000,00",0,0,0,0
2024-10-28,"2.000,00",,,"2.000,00",0,0,0,0
2024-10-29,"2.000,00",,,"2.000,00",0,0,0,0
2024-10-30,"2.000,00",,,"2.000,00",0,0,0,0
2024-10-31,"2.000,00",,,"2.000,00",0,0,0,0
2024-11-01,"2.000,00",,,"2.000,00",0,0,0,0
2024-11-04,"2.000,00",,,"2.000,00",0,0,0,0
2024-11-05,"2.000,00",,,"2.000,00",0,0,0,0
2024-11-06,"2.000,00",,,"2.000,00",0,0,0,0
2024-11-07,"2.000,00",,,"2.000,00",0,0,0,0
2024-11-08,"2.000,00",,,"2.000,00",0,0,0,0
,"2.000,00",,,"2.000,00",0,0,0,0
